ID,treatment,NED,regime,Temp,Co2,Herb,uv,Li,pH,ND,P,overlap,replicate,count.ml.Nt,logcount.Nt,count.ml.No,logcount.No,Rate of Division,risk.Extinction,no.divisions,perDay,relative.fit,change.no.cells
2_H4,Control,0,49,no,no,no,no,no,no,no,no,0,1,4062266.667,15.21725167,301300,12.61586173,0.750602474,0.922398189,3.753012366,0.750602473,1.120596228,752193.3334
2_H4,Control,0,49,no,no,no,no,no,no,no,no,0,1,3878900,15.17106217,464700,13.04914732,0.612255207,0.986594218,3.061276031,0.612255206,1.022540717,682840
2_H5,Control,0,49,no,no,no,no,no,no,no,no,0,2,2956766.667,14.89960689,270466.6667,12.50790414,0.690099538,0.979928826,3.450497697,0.690099539,1.030269641,537260.0001
2_H5,Control,0,49,no,no,no,no,no,no,no,no,0,2,3894233.333,15.17500738,440200,12.99498445,0.629021656,0.970190437,3.14510827,0.629021654,1.050542725,690806.6666
2_H6,Control,0,49,no,no,no,no,no,no,no,no,0,3,3233100,14.98895199,450333.3333,13.01774333,0.568770591,1.106335951,2.843852958,0.568770592,0.849134132,556553.3333
2_H6,Control,0,49,no,no,no,no,no,no,no,no,0,3,3378566.667,15.03296211,493600,13.10948075,0.554999405,1.044730911,2.774997019,0.554999404,0.926916558,576993.3334
4_H4,Co2,1,1,no,yes,no,no,no,no,no,no,0,4,2787466.667,14.84064374,497566.6667,13.11748483,0.497198562,1.188421124,2.485992814,0.497198563,0.742282172,457980.0001
4_H4,Co2,1,1,no,yes,no,no,no,no,no,no,0,4,834200,13.63422846,378955.5556,12.84517421,0.227672931,1.449307454,1.138364653,0.227672931,0.380241506,91048.88888
4_H5,Co2,1,1,no,yes,no,no,no,no,no,no,0,5,3124966.667,14.95493417,293233.3333,12.58872393,0.682743957,0.987163346,3.413719779,0.682743956,1.019288276,566346.6667
4_H5,Co2,1,1,no,yes,no,no,no,no,no,no,0,5,3140100,14.9597652,353977.7778,12.77698942,0.629815961,0.969420115,3.149079793,0.629815959,1.051869311,557224.4444
4_H6,Co2,1,1,no,yes,no,no,no,no,no,no,0,6,3315766.667,15.01419943,284966.6667,12.56012749,0.708095482,0.962451811,3.540477418,0.708095484,1.057136308,606160.0001
4_H6,Co2,1,1,no,yes,no,no,no,no,no,no,0,6,3018200,14.92017119,362177.7778,12.79989047,0.611783695,0.987059518,3.05891848,0.611783696,1.021753237,531204.4444
2_F2,Herb,1,50,no,no,yes,no,no,no,no,no,0,7,1148566.667,13.95402535,360066.6667,12.79404448,0.334699729,1.398114401,1.673498649,0.33469973,0.499682945,157700.0001
2_F2,Herb,1,50,no,no,yes,no,no,no,no,no,0,7,1218633.333,14.01324057,706900,13.46864449,0.157137212,1.555227043,0.785686064,0.157137213,0.262438272,102346.6666
2_F4,Herb,1,50,no,no,yes,no,no,no,no,no,0,8,780133.3333,13.56722012,275100,12.52488995,0.300752916,1.446390707,1.503764567,0.300752913,0.449002757,101006.6667
2_F4,Herb,1,50,no,no,yes,no,no,no,no,no,0,8,1284233.333,14.06567247,343900,12.7481062,0.380169266,1.244320366,1.900846324,0.380169265,0.634928946,188066.6666
2_F6,Herb,1,50,no,no,yes,no,no,no,no,no,0,9,755233.3333,13.53478203,239766.6667,12.38742151,0.331058268,1.403214861,1.655291332,0.331058266,0.494246499,103093.3333
2_F6,Herb,1,50,no,no,yes,no,no,no,no,no,0,9,1027200,13.84234721,369100,12.81882289,0.295326693,1.354499567,1.476633461,0.295326692,0.493231522,131620
1_F7,Li,1,56,no,no,no,no,yes,no,no,no,0,10,3112933.333,14.95107603,470033.3333,13.06055889,0.545487941,1.132396587,2.727439703,0.545487941,0.814374786,528579.9999
1_F7,Li,1,56,no,no,no,no,yes,no,no,no,0,10,3407500,15.04148944,663933.3333,13.40593702,0.471920673,1.135233189,2.359603365,0.471920673,0.788164965,548713.3333
1_F9,Li,1,56,no,no,no,no,yes,no,no,no,0,11,3719000,15.12896537,319133.3333,12.67336427,0.708536708,0.962027246,3.542683529,0.708536706,1.057795022,679973.3333
1_F9,Li,1,56,no,no,no,no,yes,no,no,no,0,11,1919833.333,14.46774893,517688.8889,13.15712974,0.378164762,1.246817112,1.890823806,0.378164761,0.631581181,280428.8888
1_F11,Li,1,56,no,no,no,no,yes,no,no,no,0,12,3578033.333,15.09032386,237700,12.37876465,0.782390604,0.893538012,3.911953025,0.782390605,1.168053653,668066.6666
1_F11,Li,1,56,no,no,no,no,yes,no,no,no,0,12,3140400,14.95986074,533533.3333,13.18727683,0.511459603,1.091223073,2.557298017,0.511459603,0.854199791,521373.3333
2_D7,Nd,1,57,no,no,no,no,no,no,yes,no,0,13,3047333.333,14.92977745,427100,12.96477346,0.566980303,1.108318385,2.834901512,0.566980302,0.846461357,524046.6666
2_D7,Nd,1,57,no,no,no,no,no,no,yes,no,0,13,2058766.667,14.53761766,282000,12.54966235,0.573602652,1.025475188,2.868013267,0.573602653,0.957986249,355353.3334
2_D8,Nd,1,57,no,no,no,no,no,no,yes,no,0,14,4084833.333,15.22279149,311466.6667,12.6490476,0.742625507,0.929785554,3.713127547,0.742625509,1.108687187,754673.3333
2_D8,Nd,1,57,no,no,no,no,no,no,yes,no,0,14,3988100,15.19882548,324700,12.69065696,0.723704459,0.88254482,3.618522286,0.723704457,1.208674531,732680
2_D9,Nd,1,57,no,no,no,no,no,no,yes,no,0,15,3199466.667,14.97849469,282366.6667,12.55096174,0.700437948,0.969850108,3.502189749,0.70043795,1.045704154,583420.0001
2_D9,Nd,1,57,no,no,no,no,no,no,yes,no,0,15,3741966.667,15.13512188,581000,13.27250604,0.537437328,1.063240615,2.687186635,0.537437327,0.897585752,632193.3334
2_G4,P,1,59,no,no,no,no,no,no,no,yes,0,16,1217700,14.01247439,427900,12.9666448,0.301762632,1.444930999,1.508813163,0.301762633,0.450510197,157960
2_G4,P,1,59,no,no,no,no,no,no,no,yes,0,16,2009366.667,14.51333014,830600,13.62990361,0.254903015,1.410375162,1.274515074,0.254903015,0.425719061,235753.3334
2_G5,P,1,59,no,no,no,no,no,no,no,yes,0,17,1666166.667,14.32603614,396433.3333,12.89026317,0.414276508,1.291168591,2.071382544,0.414276509,0.618485429,253946.6667
2_G5,P,1,59,no,no,no,no,no,no,no,yes,0,17,2802833.333,14.84614137,697300,13.45497101,0.401406914,1.218172569,2.007034579,0.401406916,0.670398408,421106.6666
2_G6,P,1,59,no,no,no,no,no,no,no,yes,0,18,1022500,13.83776117,271733.3333,12.51257647,0.382367477,1.333032902,1.911837395,0.382367479,0.570847512,150153.3333
2_G6,P,1,59,no,no,no,no,no,no,no,yes,0,18,1698100,14.34502054,524200,13.16962857,0.339146432,1.296427395,1.695732166,0.339146433,0.566415824,234780
1_E10,Ph,1,65,no,no,no,no,no,yes,no,no,0,19,2045000,14.53090835,437066.6667,12.98784102,0.445235117,1.251808223,2.226175585,0.445235117,0.664704434,321586.6667
1_E10,Ph,1,65,no,no,no,no,no,yes,no,no,0,19,2817733.333,14.85144334,583400,13.27662834,0.454395558,1.155303636,2.271977791,0.454395558,0.75889589,446866.6666
1_E11,Ph,1,65,no,no,no,no,no,yes,no,no,0,20,2616166.667,14.7772207,345400,12.75245844,0.584222893,1.089371918,2.921114471,0.584222894,0.872203323,454153.3334
1_E11,Ph,1,65,no,no,no,no,no,yes,no,no,0,20,2775233.333,14.83624539,554288.8889,13.22544129,0.464779816,1.14336874,2.323899087,0.464779817,0.776238867,444188.8888
1_E12,Ph,1,65,no,no,no,no,no,yes,no,no,0,21,2601266.667,14.77150906,514766.6667,13.151469,0.467444753,1.224312484,2.337223761,0.467444752,0.697861844,417300.0001
1_E12,Ph,1,65,no,no,no,no,no,yes,no,no,0,21,3356966.667,15.02654835,633533.3333,13.3590679,0.481133156,1.124822899,2.405665776,0.481133155,0.803550932,544686.6667
1_A4,Temp,1,75,yes,no,no,no,no,no,no,no,0,22,2111600,14.56295651,355500,12.78128053,0.514083021,1.168523727,2.570415101,0.51408302,0.767489468,351220
1_A4,Temp,1,75,yes,no,no,no,no,no,no,no,0,22,2349400,14.66967053,313644.4444,12.65601528,0.58101809,1.017898966,2.905090443,0.581018089,0.970370928,407151.1111
1_A5,Temp,1,75,yes,no,no,no,no,no,no,no,0,23,1891233.333,14.45273973,277333.3333,12.53297543,0.553926887,1.122880562,2.769634435,0.553926887,0.826973534,322779.9999
1_A5,Temp,1,75,yes,no,no,no,no,no,no,no,0,23,2591666.667,14.76781173,540244.4444,13.19977699,0.452439188,1.15756605,2.262195943,0.452439189,0.755628515,410284.4445
1_A6,Temp,1,75,yes,no,no,no,no,no,no,no,0,24,1732633.333,14.36515297,567333.3333,13.2487023,0.322139568,1.415785687,1.610697845,0.322139569,0.480931517,233059.9999
1_A6,Temp,1,75,yes,no,no,no,no,no,no,no,0,24,1788233.333,14.39673873,581288.8889,13.27300314,0.324241552,1.315895213,1.621207763,0.324241553,0.541522859,241388.8888
2_H1,Uv,1,88,no,no,no,yes,no,no,no,no,0,25,3271433.333,15.00073878,327733.3333,12.69995555,0.66386571,1.005976278,3.319328556,0.663865711,0.991104397,588739.9999
2_H1,Uv,1,88,no,no,no,yes,no,no,no,no,0,25,3464533.333,15.0580885,482800,13.08735777,0.568632691,1.030584446,2.843163451,0.56863269,0.949685805,596346.6666
2_H2,Uv,1,88,no,no,no,yes,no,no,no,no,0,26,3757933.333,15.13937972,262566.6667,12.4782603,0.767836759,0.906637519,3.83918379,0.767836758,1.146325792,699073.3333
2_H2,Uv,1,88,no,no,no,yes,no,no,no,no,0,26,3213400,14.98284012,711400,13.47499014,0.435073539,1.177843491,2.175367689,0.435073538,0.726625764,500400
2_H3,Uv,1,88,no,no,no,yes,no,no,no,no,0,27,3525100,15.07541936,267500,12.49687485,0.744010678,0.928498535,3.720053377,0.744010675,1.110755141,651520
2_H3,Uv,1,88,no,no,no,yes,no,no,no,no,0,27,3748733.333,15.13692856,698000,13.45597438,0.485020852,1.120458418,2.425104259,0.485020852,0.810043858,610146.6666
4_F2,Co2/Herb,2,2,no,yes,yes,no,no,no,no,no,0.166666667,28,1219933.333,14.01430677,271666.6667,12.5123311,0.433378569,1.266738684,2.166892851,0.43337857,0.647003451,189653.3333
4_F2,Co2/Herb,2,2,no,yes,yes,no,no,no,no,no,0.166666667,28,1278466.667,14.061172,207044.4444,12.24068876,0.52528043,1.07624521,2.626402142,0.525280428,0.877282252,214284.4445
4_F4,Co2/Herb,2,2,no,yes,yes,no,no,no,no,no,0.166666667,29,1094233.333,13.90556452,255300,12.4501946,0.419930993,1.2838883,2.099654966,0.419930993,0.626927173,167786.6666
4_F4,Co2/Herb,2,2,no,yes,yes,no,no,no,no,no,0.166666667,29,1142700,13.94890444,233111.1111,12.35927049,0.458671403,1.150374282,2.293357016,0.458671403,0.766037072,181917.7778
4_F6,Co2/Herb,2,2,no,yes,yes,no,no,no,no,no,0.166666667,30,778066.6667,13.56456749,213533.3333,12.27154823,0.373086495,1.345462346,1.865432474,0.373086495,0.556991661,112906.6667
4_F6,Co2/Herb,2,2,no,yes,yes,no,no,no,no,no,0.166666667,30,891700,13.70088503,159777.7778,11.98153924,0.49609833,1.108115058,2.480491645,0.496098329,0.828544593,146384.4444
3_F7,Co2/Li,2,8,no,yes,no,no,yes,no,no,no,0.214285714,31,3100800,14.9471707,254633.3333,12.44757988,0.721229456,0.949893644,3.60614728,0.721229456,1.076744397,569233.3333
3_F7,Co2/Li,2,8,no,yes,no,no,yes,no,no,no,0.214285714,31,3886333.333,15.17297668,234900,12.36691517,0.809658206,0.809855494,4.048291025,0.809658205,1.352227752,730286.6666
3_F9,Co2/Li,2,8,no,yes,no,no,yes,no,no,no,0.214285714,32,3121433.333,14.95380286,199200,12.20206462,0.79398382,0.883238848,3.969919113,0.793983823,1.185361504,584446.6666
3_F9,Co2/Li,2,8,no,yes,no,no,yes,no,no,no,0.214285714,32,3893366.667,15.17478481,284200,12.55743349,0.755207952,0.855174963,3.77603977,0.755207954,1.261289205,721833.3334
3_F11,Co2/Li,2,8,no,yes,no,no,yes,no,no,no,0.214285714,33,3942500,15.1873256,182266.6667,12.1132261,0.886997621,0.80479039,4.434988104,0.886997621,1.324224504,752046.6667
3_F11,Co2/Li,2,8,no,yes,no,no,yes,no,no,no,0.214285714,33,3188033.333,14.97491477,222100,12.31088301,0.768677083,0.843733724,3.843385409,0.768677082,1.283784288,593186.6666
4_D7,Co2/Nd,2,9,no,yes,no,no,no,no,yes,no,0.166666667,34,3153800,14.96411863,285433.3333,12.56176377,0.693173089,0.976921588,3.465865443,0.693173089,1.034858232,573673.3333
4_D7,Co2/Nd,2,9,no,yes,no,no,no,no,yes,no,0.166666667,34,3761033.333,15.1402043,136111.1111,11.82122682,0.957654469,0.698447186,4.788272351,0.95765447,1.599399529,724984.4444
4_D8,Co2/Nd,2,9,no,yes,no,no,no,no,yes,no,0.166666667,35,3929633.333,15.18405668,251033.3333,12.43334101,0.793688771,0.883499485,3.968443856,0.793688771,1.184921013,735719.9999
4_D8,Co2/Nd,2,9,no,yes,no,no,no,no,yes,no,0.166666667,35,3997366.667,15.20114637,329466.6667,12.70523046,0.7201691,0.885670456,3.600845506,0.720169101,1.202770056,733580.0001
4_D9,Co2/Nd,2,9,no,yes,no,no,no,no,yes,no,0.166666667,36,2164366.667,14.58763834,151866.6667,11.93075822,0.766613555,0.907747199,3.833067773,0.766613555,1.144499636,402500.0001
4_D9,Co2/Nd,2,9,no,yes,no,no,no,no,yes,no,0.166666667,36,3217200,14.98402197,239111.1111,12.38468362,0.75001051,0.859631256,3.750052547,0.750010509,1.25260884,595617.7778
4_G4,Co2/P,2,11,no,yes,no,no,no,no,no,yes,0.19047619,37,1412233.333,14.16068293,329300,12.70472447,0.420100811,1.283670291,2.10050405,0.42010081,0.627180698,216586.6666
4_G4,Co2/P,2,11,no,yes,no,no,no,no,no,yes,0.19047619,37,1577866.667,14.27158428,236155.5556,12.372246,0.548033184,1.052034146,2.740165918,0.548033184,0.915282122,268342.2223
4_G5,Co2/P,2,11,no,yes,no,no,no,no,no,yes,0.19047619,38,1665000,14.32533568,389266.6667,12.87201991,0.419338292,1.284649488,2.096691454,0.419338291,0.626042311,255146.6667
4_G5,Co2/P,2,11,no,yes,no,no,no,no,no,yes,0.19047619,38,1996633.333,14.50697299,220311.1111,12.30279597,0.635991051,0.963452304,3.179955256,0.635991051,1.062182467,355264.4444
4_G6,Co2/P,2,11,no,yes,no,no,no,no,no,yes,0.19047619,39,1357200,14.12093431,344800,12.75071982,0.395360331,1.315825033,1.97680165,0.39536033,0.590244917,202480
4_G6,Co2/P,2,11,no,yes,no,no,no,no,no,yes,0.19047619,39,1974533.333,14.49584264,357755.5556,12.78760523,0.492893129,1.111672487,2.46446564,0.492893128,0.823191518,323355.5555
